,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
387,Kaeo,-35.1,173.78,60.01,3,54,8.99,NZ,1595905675
388,Huangnihe,43.56,128.02,73.33,74,99,6.96,CN,1595905675
389,Fort Nelson,58.81,-122.7,64.4,72,75,5.82,CA,1595905556
390,Narsaq,60.92,-46.05,46.4,93,100,4.7,GL,1595905675
391,Palauig,15.44,119.9,84.7,68,87,1.77,PH,1595905675
392,Gijang,35.24,129.21,77.0,83,90,5.82,KR,1595905675
393,Cairns,-16.92,145.77,79.92,50,82,8.05,AU,1595905469
394,Mahajanga,-15.72,46.32,71.4,71,95,6.44,MG,1595905675
395,Joshīmath,30.57,79.57,70.07,57,88,1.99,IN,1595905569
396,Mahon,39.89,4.27,73.4,94,0,4.7,ES,1595905676
397,Ürümqi,43.8,87.6,73.4,46,51,2.24,CN,1595905676
398,Manggar,-2.88,108.27,83.64,71,29,18.16,ID,1595905676
399,Holland,42.79,-86.11,68.5,77,1,3.36,US,1595905676
400,Asău,46.43,26.4,59.0,87,38,4.63,RO,1595905676
401,Lavrentiya,65.58,-171.0,47.93,80,93,13.85,RU,1595905558
402,Longyearbyen,78.22,15.64,64.4,48,99,11.41,SJ,1595905676
403,Havelock,34.88,-76.9,83.39,74,75,12.75,US,1595905639
404,Outjo,-20.12,16.15,50.61,44,0,10.56,NA,1595905676
406,Yangambi,0.81,24.43,69.62,96,98,1.88,CD,1595905676
407,Rome,43.21,-75.46,74.03,88,1,3.36,US,1595905676
408,Yerbogachën,61.28,108.01,53.4,91,100,10.22,RU,1595905676
409,Gobabis,-22.45,18.97,37.4,55,0,1.12,NA,1595905676
410,Alugan,12.22,125.48,82.42,76,100,7.76,PH,1595905551
411,Antofagasta,-23.65,-70.4,55.4,76,75,5.82,CL,1595905527
412,Pedernales,18.04,-71.74,81.36,72,6,3.49,DO,1595905677
413,Saint-Augustin,51.23,-58.65,57.34,90,100,8.37,CA,1595905677
414,Lázaro Cárdenas,17.96,-102.2,80.74,76,100,3.38,MX,1595905677
415,Gamba,-2.65,10.0,71.98,81,45,5.48,GA,1595905677
416,Tataouine,32.93,10.45,75.2,44,0,4.7,TN,1595905677
417,Lewistown,40.6,-77.57,80.37,61,1,3.36,US,1595905677
418,Ponnāni,10.77,75.93,77.0,88,75,5.82,IN,1595905677
419,Owando,-0.48,15.9,71.82,85,12,3.0,CG,1595905677
420,Muisne,0.6,-80.03,73.51,88,100,7.74,EC,1595905677
421,Pitimbu,-7.47,-34.81,75.07,81,31,15.17,BR,1595905677
422,Iracoubo,5.48,-53.2,77.81,83,88,3.51,GF,1595905678
423,Shancheng,34.8,116.08,81.45,73,57,5.32,CN,1595905678
424,Baykit,61.67,96.37,65.26,59,96,1.92,RU,1595905678
425,Kavaratti,10.57,72.64,82.09,81,100,15.23,IN,1595905678
426,Puerto Colombia,10.99,-74.95,82.4,78,97,10.29,CO,1595905678
427,Thunder Bay,48.4,-89.32,63.7,82,40,9.17,CA,1595905396
428,Maragogi,-9.01,-35.22,73.83,77,72,10.42,BR,1595905678
429,Labuhan,-6.88,112.21,82.8,64,94,6.13,ID,1595905678
430,Le Vauclin,14.55,-60.84,83.68,78,1,10.29,MQ,1595905678
431,Trat,12.5,102.5,84.2,89,40,3.58,TH,1595905678
432,Belaya Gora,68.53,146.42,51.35,64,100,7.65,RU,1595905678
433,Voskresenskoye,56.84,45.43,61.48,84,50,2.15,RU,1595905678
434,Ol'ga,43.74,135.29,75.02,64,51,6.46,RU,1595905678
435,Madoc,44.51,-77.47,76.98,84,95,1.01,CA,1595905678
436,Panshi,42.94,126.06,81.21,60,43,3.31,CN,1595905679
437,Pathalgaon,22.57,83.47,84.04,65,95,3.98,IN,1595905679
438,Sioux Lookout,50.1,-91.92,59.0,93,90,4.7,CA,1595905679
439,Katima Mulilo,-17.5,24.27,37.4,74,0,1.12,NA,1595905679
440,Sidi Ali,36.1,0.42,73.22,82,0,4.41,DZ,1595905679
441,Nālūt,30.33,10.85,72.28,40,0,12.03,LY,1595905679
442,Codrington,-38.27,141.97,55.9,67,46,2.71,AU,1595905679
443,Okhotsk,59.38,143.3,69.17,68,39,5.79,RU,1595905679
444,Palmeira das Missões,-27.9,-53.31,58.84,96,91,3.85,BR,1595905679
445,Santa Maria,-29.68,-53.81,56.21,93,100,4.32,BR,1595905679
446,Yuci,37.68,112.73,73.4,64,20,6.71,CN,1595905679
447,Dongning,44.06,131.12,82.45,54,54,3.96,CN,1595905679
448,Rondonópolis,-16.47,-54.64,68.29,44,86,2.93,BR,1595905679
449,Beloha,-25.17,45.05,57.4,94,9,5.23,MG,1595905680
450,Inuvik,68.35,-133.72,66.2,52,75,16.11,CA,1595905680
451,Corozal,9.32,-75.29,75.65,93,53,5.64,CO,1595905680
452,Constantine,36.37,6.61,71.6,40,0,2.24,DZ,1595905680
453,Richards Bay,-28.78,32.04,57.18,83,3,6.33,ZA,1595905680
454,Kralendijk,12.15,-68.27,82.4,83,0,10.29,BQ,1595905443
455,Shangrao,28.45,117.97,90.37,65,100,2.62,CN,1595905680
456,San Quintín,30.48,-115.95,66.63,85,0,15.1,MX,1595905680
457,Nioro,13.35,-15.75,76.24,93,100,7.16,GM,1595905680
458,Nha Trang,12.25,109.18,93.2,56,20,6.93,VN,1595905680
459,Galle,6.04,80.22,80.64,83,100,9.95,LK,1595905680
460,Taunggyi,20.78,97.03,68.88,95,100,0.96,MM,1595905680
461,Kulhudhuffushi,6.62,73.07,81.77,80,100,13.22,MV,1595905681
463,Kandrian,-6.22,149.55,82.89,79,87,7.38,PG,1595905681
464,Kaka,37.35,59.61,91.72,15,0,3.78,TM,1595905681
465,Tual,-5.67,132.75,78.82,81,19,20.87,ID,1595905681
466,La Cruz,23.92,-106.9,73.0,98,98,5.01,MX,1595905681
467,Lantawan,10.62,123.98,84.2,79,90,3.36,PH,1595905681
468,Bela Vista de Goiás,-16.97,-48.95,75.2,50,17,6.93,BR,1595905681
469,Port Macquarie,-31.43,152.92,68.0,58,84,1.01,AU,1595905681
470,Copiapó,-27.37,-70.33,48.2,93,0,1.12,CL,1595905681
471,Great Falls,47.5,-111.3,81.43,23,1,12.75,US,1595905394
472,Santo Domingo,18.5,-69.99,79.97,88,20,6.93,DO,1595905663
473,Dingle,11.0,122.67,82.33,82,97,1.97,PH,1595905682
474,Sechura,-5.56,-80.82,62.53,80,0,13.98,PE,1595905682
475,Adra,36.75,-3.02,75.85,88,0,4.7,ES,1595905682
476,Tazmalt,36.39,4.4,75.2,64,0,4.7,DZ,1595905682
477,Gondanglegi,-7.75,112.01,82.99,58,57,14.9,ID,1595905682
478,Boende,-0.22,20.87,70.86,87,3,1.59,CD,1595905682
479,Vanavara,60.34,102.28,60.94,91,100,2.42,RU,1595905682
480,Melilla,35.29,-2.94,77.49,78,90,3.36,ES,1595905682
481,Riyadh,24.69,46.72,87.8,31,13,4.0,SA,1595905682
482,Sinegor'ye,62.08,150.48,79.23,29,100,7.16,RU,1595905682
483,Apia,-13.83,-171.77,84.09,79,75,3.36,WS,1595905683
484,Grand Island,40.92,-98.34,72.27,64,1,3.36,US,1595905428
485,Morondava,-20.28,44.28,62.24,55,29,5.84,MG,1595905683
486,Biltine,14.53,20.92,81.3,58,100,10.33,TD,1595905683
487,Warrington,53.39,-2.58,56.48,82,44,19.46,GB,1595905683
488,Kloulklubed,7.04,134.26,86.0,70,75,8.05,PW,1595905683
489,Yinchuan,38.47,106.27,92.77,11,0,1.59,CN,1595905683
490,Tura,25.52,90.22,79.18,92,100,4.72,IN,1595905683
491,Pathein,16.78,94.73,86.95,67,84,6.06,MM,1595905683
492,Talcahuano,-36.72,-73.12,46.4,65,0,12.75,CL,1595905518
493,Kochi,9.94,76.26,76.96,88,75,4.63,IN,1595905683
494,Ambilobe,-13.2,49.05,67.46,85,34,2.04,MG,1595905683
495,Poum,-20.23,164.02,74.88,78,97,20.4,NC,1595905683
496,Seoul,37.57,126.98,77.54,78,90,6.6,KR,1595905684
497,Lhokseumawe,5.18,97.15,82.35,74,100,7.18,ID,1595905620
498,Beltinci,46.61,16.24,59.76,93,0,2.24,SI,1595905684
499,Avera,33.19,-82.53,78.1,70,1,5.7,US,1595905684
500,Zhangaözen,43.3,52.8,77.11,22,0,18.01,KZ,1595905684
501,Novo Cruzeiro,-17.47,-41.88,56.12,99,17,2.42,BR,1595905684
502,El Copé,8.62,-80.6,75.0,89,100,1.72,PA,1595905684
503,San Patricio,19.22,-104.7,84.2,79,75,0.87,MX,1595905684
504,Micheweni,-4.97,39.83,77.04,75,66,17.47,TZ,1595905684
505,Shalinskoye,55.72,93.76,66.4,74,100,1.01,RU,1595905684
506,Kaduqli,11.02,29.72,72.07,94,100,4.36,SD,1595905684
507,Puerto Palomas,31.77,-107.62,82.4,30,1,5.82,MX,1595905684
508,Yerofey Pavlovich,53.97,121.97,78.57,72,17,6.17,RU,1595905684
509,Garoowe,8.41,48.48,75.9,70,7,18.5,SO,1595905685
510,Mount Isa,-20.73,139.5,71.6,21,0,16.11,AU,1595905685
511,Am Timan,11.03,20.28,73.26,92,100,7.81,TD,1595905685
512,Ulaanbaatar,47.91,106.88,68.0,52,40,13.42,MN,1595905685
513,Decatur,39.84,-88.95,75.81,94,40,5.82,US,1595905685
514,Prince George,53.92,-122.75,75.97,53,40,6.93,CA,1595905608
515,Caravelas,-17.71,-39.25,69.01,85,8,3.0,BR,1595905685
516,Sørland,67.67,12.69,54.61,90,97,10.87,NO,1595905685
517,Grindavik,63.84,-22.43,48.2,81,75,13.87,IS,1595905686
518,Elverum,60.88,11.56,49.6,95,27,5.99,NO,1595905686
519,Lugovoy,42.95,72.76,83.41,24,78,6.67,KZ,1595905686
520,Duekoué,6.75,-7.35,69.89,94,98,3.87,CI,1595905686
521,Aksarka,66.56,67.8,51.93,70,100,12.35,RU,1595905686
522,Tselinnoye,53.08,85.67,65.37,73,89,5.5,RU,1595905686
523,Julfa,38.96,45.63,75.2,53,40,4.7,AZ,1595905686
524,Peniche,39.36,-9.38,66.02,95,28,5.99,PT,1595905686
525,Manokwari,-0.87,134.08,81.52,75,98,2.77,ID,1595905686
526,Mae Tha,18.46,99.14,81.64,61,100,1.39,TH,1595905686
528,Raudeberg,61.99,5.14,61.29,72,100,12.75,NO,1595905570
529,Aripuanã,-9.17,-60.63,75.29,53,100,0.74,BR,1595905548
530,Khovd,48.01,91.64,63.14,60,100,5.08,MN,1595905687
531,Aracati,-4.56,-37.77,75.6,72,0,13.15,BR,1595905687
532,Beira,-19.84,34.84,64.2,93,40,11.41,MZ,1595905687
533,Ixtapa,20.7,-105.2,80.31,88,90,2.35,MX,1595905687
534,Makakilo City,21.35,-158.09,86.13,45,1,10.29,US,1595905687
535,Vardø,70.37,31.11,55.4,87,0,5.82,NO,1595905687
536,Solnechnyy,50.72,136.63,80.19,50,91,4.68,RU,1595905687
537,Kenora,49.82,-94.43,64.2,77,75,6.93,CA,1595905523
538,Huaraz,-9.53,-77.53,51.67,52,12,1.9,PE,1595905577
539,Maceió,-9.67,-35.74,71.6,94,75,3.36,BR,1595905591
540,Luwuk,-0.95,122.79,83.77,66,99,8.39,ID,1595905688
541,Tilichiki,60.47,166.1,66.74,53,0,10.49,RU,1595905547
542,Tianpeng,30.99,103.94,88.68,55,35,4.47,CN,1595905688
544,Statesville,35.78,-80.89,74.7,88,1,0.69,US,1595905688
545,Tegul'det,57.31,88.17,67.69,59,0,3.51,RU,1595905688
546,Ketchikan,55.34,-131.65,61.9,63,75,11.41,US,1595905688
547,Vestmanna,62.16,-7.17,46.4,93,78,18.34,FO,1595905688
548,Kinablangan,7.69,126.55,85.37,64,60,4.54,PH,1595905688
549,Sivas Province,39.79,37.0,59.0,58,0,2.24,TR,1595905688
550,Ahipara,-35.17,173.17,60.55,66,58,10.45,NZ,1595905689
551,Oudtshoorn,-33.59,22.2,48.2,76,0,3.36,ZA,1595905689
552,Farafangana,-22.82,47.83,61.99,85,33,7.83,MG,1595905689
